# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.init.bridges.ms,1757676681353000000,1757676741374000000,0
workspaceModel.updates.count,1757676681353000000,1757676741374000000,3
workspaceModel.replace.project.model.ms,1757676681353000000,1757676741374000000,0
workspaceModel.loading.from.cache.ms,1757676681353000000,1757676741374000000,65
workspaceModel.update.unloaded.entities.ms,1757676681353000000,1757676741374000000,0
workspaceModel.check.recursive.update.ms,1757676681353000000,1757676741374000000,0
workspaceModel.initializing.ms,1757676681353000000,1757676741374000000,0
workspaceModel.updates.precise.ms,1757676681353000000,1757676741374000000,9
workspaceModel.updates.ms,1757676681353000000,1757676741374000000,25
workspaceModel.loading.total.ms,1757676681353000000,1757676741374000000,70
workspaceModel.to.snapshot.ms,1757676681353000000,1757676741374000000,0
workspaceModel.collect.changes.ms,1757676681353000000,1757676741374000000,0
workspaceModel.pre.handlers.ms,1757676681353000000,1757676741374000000,0
JVM.totalBytesAllocated,1757676681353000000,1757676741374000000,2594953232
OS.loadAverage,1757676681353000000,1757676741374000000,3.36083984375
JVM.totalCpuTimeMs,1757676681353000000,1757676741374000000,44251
JVM.threadCount,1757676681353000000,1757676741374000000,151
JVM.usedNativeBytes,1757676681353000000,1757676741374000000,397393136
JVM.maxHeapBytes,1757676681353000000,1757676741374000000,2147483648
JVM.maxNativeBytes,1757676681353000000,1757676741374000000,-1
JVM.usedHeapBytes,1757676681353000000,1757676741374000000,592409632
JVM.GC.collectionTimesMs,1757676681353000000,1757676741374000000,90
JVM.GC.collections,1757676681353000000,1757676741374000000,29
AWTEventQueue.eventsDispatched,1757676681353000000,1757676741374000000,20
FlushQueue.queueSizeMax,1757676681353000000,1757676741374000000,0
WriteAction.executionsCount,1757676681353000000,1757676741374000000,9
AWTEventQueue.dispatchTimeMaxNs,1757676681353000000,1757676741374000000,1384447
FlushQueue.queueSizeAvg,1757676681353000000,1757676741374000000,0.0
FlushQueue.executionTimeMaxNs,1757676681353000000,1757676741374000000,0
FlushQueue.tasksExecuted,1757676681353000000,1757676741374000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1757676681353000000,1757676741374000000,165698
FlushQueue.waitingTimeAvgNs,1757676681353000000,1757676741374000000,0.0
AWTEventQueue.dispatchTimeAvgNs,1757676681353000000,1757676741374000000,100700.8
FlushQueue.executionTimeAvgNs,1757676681353000000,1757676741374000000,0.0
FlushQueue.waitingTime90PNs,1757676681353000000,1757676741374000000,0
ReadAction.executionsCount,1757676681353000000,1757676741374000000,111959
FlushQueue.executionTime90PNs,1757676681353000000,1757676741374000000,0
AWTEventQueue.dispatchTimeTotalNS,1757676681353000000,1757676741374000000,5785392496
FlushQueue.waitingTimeMaxNs,1757676681353000000,1757676741374000000,0
NonBlockingReadAction.failedExecutionsCount,1757676681353000000,1757676741374000000,1
NonBlockingReadAction.failedExecutionTimeUs,1757676681353000000,1757676741374000000,111722
FlushQueue.queueSize90P,1757676681353000000,1757676741374000000,0
AWTEventQueue.dispatchTime90PNs,1757676681353000000,1757676741374000000,96767
NonBlockingReadAction.finalizedExecutionsCount,1757676681353000000,1757676741374000000,30
jps.module.iml.entities.serializer.save.entities.ms,1757676681353000000,1757676741374000000,0
jps.global.initialize.library.bridges.ms,1757676681353000000,1757676741374000000,0
workspaceModel.global.updates.count,1757676681353000000,1757676741374000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1757676681353000000,1757676741374000000,5
workspaceModel.delayed.project.synchronizer.sync.ms,1757676681353000000,1757676741374000000,38
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1757676681353000000,1757676741374000000,1
workspaceModel.mutableEntityStorage.add.diff.ms,1757676681353000000,1757676741374000000,2
workspaceModel.moduleManagerBridge.create.module.instance.ms,1757676681353000000,1757676741374000000,0
jps.facet.change.listener.process.change.events.ms,1757676681353000000,1757676741374000000,0
workspaceModel.load.cache.from.file.ms,1757676681353000000,1757676741374000000,63
workspaceModel.orphan.listener.update.ms,1757676681353000000,1757676741374000000,2
jps.global.get.libraries.ms,1757676681353000000,1757676741374000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1757676681353000000,1757676741374000000,2
jps.library.entities.serializer.save.entities.ms,1757676681353000000,1757676741374000000,0
jps.artifact.entities.serializer.load.entities.ms,1757676681353000000,1757676741374000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1757676681353000000,1757676741374000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1757676681353000000,1757676741374000000,0
jps.global.get.library.by.name.ms,1757676681353000000,1757676741374000000,0
workspaceModel.moduleBridge.update.option.ms,1757676681353000000,1757676741374000000,0
jps.load.initial.state.ms,1757676681353000000,1757676741374000000,3
jps.load.project.to.empty.storage.ms,1757676681353000000,1757676741374000000,30
jps.global.handle.changed.events.ms,1757676681353000000,1757676741374000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1757676681353000000,1757676741374000000,113
jps.app.storage.content.reader.load.component.ms,1757676681353000000,1757676741374000000,0
jps.facet.change.listener.init.bridge.ms,1757676681353000000,1757676741374000000,0
jps.save.global.entities.ms,1757676681353000000,1757676741374000000,0
jps.apply.loaded.storage.ms,1757676681353000000,1757676741374000000,7
jps.library.entities.serializer.load.entities.ms,1757676681353000000,1757676741374000000,0
jps.artifact.entities.serializer.save.entities.ms,1757676681353000000,1757676741374000000,0
workspaceModel.mutableEntityStorage.entities.ms,1757676681353000000,1757676741374000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1757676681353000000,1757676741374000000,0
workspaceModel.save.cache.to.file.ms,1757676681353000000,1757676741374000000,22
jps.project.serializers.load.ms,1757676681353000000,1757676741374000000,10
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1757676681353000000,1757676741374000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1757676681353000000,1757676741374000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1757676681353000000,1757676741374000000,1
jps.storage.jps.conf.reader.load.component.ms,1757676681353000000,1757676741374000000,2
workspaceModel.moduleBridge.before.changed.ms,1757676681353000000,1757676741374000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1757676681353000000,1757676741374000000,0
jps.save.changed.project.entities.ms,1757676681353000000,1757676741374000000,0
jps.global.get.library.ms,1757676681353000000,1757676741374000000,0
workspaceModel.global.updates.ms,1757676681353000000,1757676741374000000,0
jps.module.iml.entities.serializer.load.entities.ms,1757676681353000000,1757676741374000000,4
workspaceModel.moduleManagerBridge.build.module.graph.ms,1757676681353000000,1757676741374000000,2
workspaceModel.mutableEntityStorage.remove.entity.ms,1757676681353000000,1757676741374000000,0
jps.global.handle.before.change.events.ms,1757676681353000000,1757676741374000000,0
workspaceModel.global.apply.state.to.project.ms,1757676681353000000,1757676741374000000,17
workspaceModel.sync.entities.ms,1757676681353000000,1757676741374000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1757676681353000000,1757676741374000000,1
jps.project.serializers.save.ms,1757676681353000000,1757676741374000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1757676681353000000,1757676741374000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1757676681353000000,1757676741374000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1757676681353000000,1757676741374000000,0
jps.global.initialize.library.bridges.after.loading.ms,1757676681353000000,1757676741374000000,0
jps.facet.change.listener.before.change.events.ms,1757676681353000000,1757676741374000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1757676681353000000,1757676741374000000,0
workspaceModel.load.cache.metadata.from.file.ms,1757676681353000000,1757676741374000000,11
workspaceModel.moduleManagerBridge.newModule.ms,1757676681353000000,1757676741374000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1757676681353000000,1757676741374000000,1
workspaceModel.moduleManagerBridge.load.all.modules.ms,1757676681353000000,1757676741374000000,17
jps.reload.project.entities.ms,1757676681353000000,1757676741374000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1757676681353000000,1757676741374000000,5
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1757676681353000000,1757676741374000000,0
FilePageCacheLockFree.nativeBytesInUse,1757676681353000000,1757676741374000000,16384
FilePageCacheLockFree.totalPagesWritten,1757676681353000000,1757676741374000000,0
StorageLockContext.competingThreads.avg,1757676681353000000,1757676741374000000,0.0
FilePageCacheLockFree.totalPagesReadMs,1757676681353000000,1757676741374000000,1
DirectByteBufferAllocator.disposed,1757676681353000000,1757676741374000000,0
FilePageCache.totalPageDisposalsUs,1757676681353000000,1757676741374000000,2334
StreamlinedBlobStorage.recordsRelocated,1757676681353000000,1757676741374000000,0
StorageLockContext.competingThreads.max,1757676681353000000,1757676741374000000,0
FilePageCache.disposedBuffers,1757676681353000000,1757676741374000000,3
FilePageCacheLockFree.housekeeperTimeSpentMs,1757676681353000000,1757676741374000000,102
DirectByteBufferAllocator.misses,1757676681353000000,1757676741374000000,223
FileChannelInterruptsRetryer.totalRetriedAttempts,1757676681353000000,1757676741374000000,0
FilePageCache.maxCacheSizeInBytes,1757676681353000000,1757676741374000000,229654528
FilePageCache.pageHits,1757676681353000000,1757676741374000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1757676681353000000,1757676741374000000,0
MappedFileStorage.totalPagesMapped,1757676681353000000,1757676741374000000,15
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1757676681353000000,1757676741374000000,0
FilePageCacheLockFree.totalPagesHandedOver,1757676681353000000,1757676741374000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1757676681353000000,1757676741374000000,229670912
FilePageCacheLockFree.totalPagesWriteMs,1757676681353000000,1757676741374000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1757676681353000000,1757676741374000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1757676681353000000,1757676741374000000,120
FilePageCache.pageFastCacheHits,1757676681353000000,1757676741374000000,6592
DirectByteBufferAllocator.hits,1757676681353000000,1757676741374000000,3
FilePageCache.maxRegisteredFiles,1757676681353000000,1757676741374000000,544
FilePageCacheLockFree.totalNativeBytesReclaimed,1757676681353000000,1757676741374000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1757676681353000000,1757676741374000000,0
FilePageCacheLockFree.totalBytesWritten,1757676681353000000,1757676741374000000,0
FilePageCache.pageLoads,1757676681353000000,1757676741374000000,224
FilePageCacheLockFree.totalPagesRequested,1757676681353000000,1757676741374000000,13
FilePageCache.totalPageLoadsUs,1757676681353000000,1757676741374000000,58305
MappedFileStorage.storages,1757676681353000000,1757676741374000000,15
FilePageCacheLockFree.totalHeapBytesAllocated,1757676681353000000,1757676741374000000,0
FilePageCache.capacityInBytes,1757676681353000000,1757676741374000000,503316478
FilePageCacheLockFree.totalBytesRequested,1757676681353000000,1757676741374000000,106496
FilePageCacheLockFree.totalHeapBytesReclaimed,1757676681353000000,1757676741374000000,0
StreamlinedBlobStorage.recordsAllocated,1757676681353000000,1757676741374000000,33153
FilePageCacheLockFree.totalPagesRequestsMs,1757676681353000000,1757676741374000000,3
DirectByteBufferAllocator.reclaimed,1757676681353000000,1757676741374000000,3
FilePageCacheLockFree.totalPagesAllocated,1757676681353000000,1757676741374000000,2
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1757676681353000000,1757676741374000000,513196
StreamlinedBlobStorage.recordsDeleted,1757676681353000000,1757676741374000000,20
FilePageCache.uncachedFileAccess,1757676681353000000,1757676741374000000,132
StorageLockContext.competingThreads.90P,1757676681353000000,1757676741374000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1757676681353000000,1757676741374000000,16384
FilePageCacheLockFree.housekeeperTurnsSkipped,1757676681353000000,1757676741374000000,47026
FilePageCacheLockFree.totalPagesReclaimed,1757676681353000000,1757676741374000000,0
MappedFileStorage.totalBytesMapped,1757676681353000000,1757676741374000000,132382720
FilePageCacheLockFree.totalBytesRead,1757676681353000000,1757676741374000000,2131
FilePageCacheLockFree.heapBytesInUse,1757676681353000000,1757676741374000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1757676681353000000,1757676741374000000,877
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1757676681353000000,1757676741374000000,2386009
Indexes.allKeys.lookups,1757676681353000000,1757676741374000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1757676681353000000,1757676741374000000,0
IndexesFlusher.totalFlushingTimeUs,1757676681353000000,1757676741374000000,217412
Indexes.entries.lookupDuration90PMs,1757676681353000000,1757676741374000000,0.0
IndexesFlusher.totalFlushes,1757676681353000000,1757676741374000000,59
Indexes.stubs.lookups,1757676681353000000,1757676741374000000,0.0
Indexes.entries.lookups,1757676681353000000,1757676741374000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1757676681353000000,1757676741374000000,0.0
IndexesFlusher.totalFlushesRetried,1757676681353000000,1757676741374000000,0
Indexes.stubs.lookupDurationAvgMs,1757676681353000000,1757676741374000000,0.0
Indexes.allKeys.lookupDuration90PMs,1757676681353000000,1757676741374000000,0.0
Indexes.stubs.lookupDuration90PMs,1757676681353000000,1757676741374000000,0.0
Indexes.stubs.lookupDurationMaxMs,1757676681353000000,1757676741374000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1757676681353000000,1757676741374000000,0.0
Indexes.entries.lookupDurationMaxMs,1757676681353000000,1757676741374000000,0.0
Indexes.entries.lookupDurationAvgMs,1757676681353000000,1757676741374000000,0.0
FileNameCache.totalMisses,1757676681353000000,1757676741374000000,70825
FileNameCache.queries,1757676681353000000,1757676741374000000,1130134
workspaceModel.init.bridges.ms,1757676741374000000,1757676801362000000,0
